shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SA_R1,9.0506287,-79.4502206,0,0.0
SA_R1,9.0506393,-79.4501761,1,5.03
SA_R1,9.0506422,-79.4501231,2,10.85
SA_R1,9.0506536,-79.4500499,3,18.99
SA_R1,9.0506703,-79.4499819,4,26.69
SA_R1,9.0506799,-79.4499089,5,34.78
SA_R1,9.0506893,-79.449836,6,42.84
SA_R1,9.0506987,-79.4497689,7,50.29
SA_R1,9.0507087,-79.4497134,8,56.48
SA_R1,9.0507211,-79.4496548,9,63.06
SA_R1,9.0507289,-79.4496053,10,68.57
SA_R1,9.0507375,-79.4495514,11,74.57
SA_R1,9.0507407,-79.4494967,12,80.58
SA_R1,9.0507536,-79.4494459,13,86.34
SA_R1,9.0507621,-79.4494,14,91.47
SA_R1,9.0507737,-79.4493568,15,96.38
SA_R1,9.0507835,-79.4493154,16,101.06
SA_R1,9.0507807,-79.4492827,17,104.67
SA_R1,9.0507798,-79.4492464,18,108.65
SA_R1,9.0507866,-79.4492065,19,113.1
SA_R1,9.0507947,-79.4491703,20,117.17
SA_R1,9.0508041,-79.449132,21,121.5
SA_R1,9.0508119,-79.4491003,22,125.09
SA_R1,9.050816,-79.449067,23,128.78
SA_R1,9.0508224,-79.4490368,24,132.17
SA_R1,9.0508254,-79.4490107,25,135.05
SA_R1,9.0508302,-79.4489852,26,137.91
SA_R1,9.0508319,-79.448964,27,140.25
SA_R1,9.050832,-79.4489527,28,141.49
SA_R1,9.050834,-79.4489446,29,142.4
SA_R1,9.0508374,-79.4489329,30,143.74
SA_R1,9.0508391,-79.4489204,31,145.13
SA_R1,9.0508395,-79.4489046,32,146.86
SA_R1,9.0508436,-79.4488816,33,149.43
SA_R1,9.0508501,-79.4488488,34,153.1
SA_R1,9.0508551,-79.4488141,35,156.95
SA_R1,9.0508601,-79.4487761,36,161.17
SA_R1,9.050862,-79.4487326,37,165.95
SA_R1,9.0508649,-79.4486874,38,170.92
SA_R1,9.0508637,-79.4486341,39,176.78
SA_R1,9.0508721,-79.4485859,40,182.15
SA_R1,9.0508698,-79.4485299,41,188.31
SA_R1,9.0508873,-79.4484711,42,195.04
SA_R1,9.0508999,-79.4484107,43,201.83
SA_R1,9.0509055,-79.4483362,44,210.02
SA_R1,9.0509282,-79.4482611,45,218.66
SA_R1,9.0509444,-79.4481808,46,227.65
