trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,pickup_type,drop_off_type
SA_IDA_001,00:00:00,00:00:00,P27,0,0.0,0,0
SA_IDA_001,00:01:34,00:01:34,P01,1,627.71,0,0
SA_IDA_001,00:03:47,00:03:47,P02,2,1436.15,0,0
SA_IDA_001,00:05:45,00:05:45,P28,3,1703.37,0,0
SA_IDA_001,00:07:08,00:07:08,P03,4,2042.41,0,0
SA_IDA_001,00:07:59,00:07:59,P04,5,2264.31,0,0
SA_IDA_001,00:08:42,00:08:42,P05,6,2517.33,0,0
SA_IDA_001,00:09:22,00:09:22,P06,7,2865.41,0,0
SA_IDA_001,00:10:15,00:10:15,P07,8,3151.95,0,0
SA_IDA_001,00:11:08,00:11:08,P08,9,3452.44,0,0
SA_IDA_001,00:11:47,00:11:47,P09,10,3662.03,0,0
SA_IDA_001,00:13:20,00:13:20,P10,11,4248.9,0,0
SA_IDA_001,00:14:03,00:14:03,P11,12,4502.62,0,0
SA_IDA_001,00:14:57,00:14:57,P12,13,4784.63,0,0
SA_IDA_001,00:15:51,00:15:51,P13,14,5144.95,0,0
SA_IDA_001,00:16:26,00:16:26,P14,15,5326.23,0,0
SA_IDA_001,00:17:51,00:17:51,P15,16,5557.03,0,0
SA_IDA_001,00:18:49,00:18:49,P16,17,5830.92,0,0
SA_IDA_001,00:19:31,00:19:31,P17,18,6030.18,0,0
SA_IDA_001,00:20:19,00:20:19,P18,19,6391.6,0,0
SA_IDA_001,00:21:07,00:21:07,P19,20,6609.63,0,0
SA_IDA_001,00:22:13,00:22:13,P20,21,6925.19,0,0
SA_IDA_001,00:22:32,00:22:32,P21,22,6925.65,0,0
SA_IDA_001,00:23:13,00:23:13,P22,23,7202.22,0,0
SA_IDA_001,00:25:25,00:25:25,P23,24,7656.67,0,0
SA_IDA_001,00:26:07,00:26:07,P24,25,7893.04,0,0
SA_IDA_001,00:27:17,00:27:17,P25,26,8235.68,0,0
SA_IDA_001,00:28:58,00:28:58,P26,27,8848.05,0,0
